name,ui,normalized_name,semanticTypes,definition
Emphysema,C0034067,Pulmonary Emphysema,Disease or Syndrome,"Trvale nadměrný obsah vzduchu v plicích při současném úbytku a poškození vlastní plicní tkáně. Nejčastěji součást CHOPN (obstrukční plicní nemoci). K dalším příčinám e. patří deficit alfa1 antitrypsinu, McLeodův syndrom, e. v okolí jizvení aj. Z hlediska patologické anatomie se rozlišuje e. centrilobulární, vznikající v rámci CHOPN, a panacinární. Zhoršuje výměnu plynů v plicích. Pacient trpí dušností (námahovou, později i klidovou), hyperventilace udržuje relativně dobrou saturaci krve kyslíkem (srov. pink puffer). Je snížena elasticita plic, mohou se vytvářet velké vzduchové buly (bulózní e.), při jejichž ruptuře vzniká pneumothorax. Časté je následné postižení srdce (cor pulmonale). (cit. Velký lékařský slovník online, 2014 http://lekarske.slovniky.cz/ )"
hyperexpansion,C0546312,Hyperexpansion of lung,Pathologic Function,"None, None)"
T 12 vertebral,C0447808,T12 thoracic vertebra,Body Space or Junction,"None, None)"
reaction to inhaled substances,C0020517,"Hypersensitivity Reaction Type IV, Cell-Mediated",Pathologic Function,"Nepřiměřená reakce organismu na určitou běžně se vyskytující látku - alergen (pyl, prach, peří, srst, některé potraviny či léky aj.) vznikající na podkladě atopie (jde o její fenotypový projev). Podstatou a. je porucha řízení imunitního systému vedoucí k nadměrným reakcím - často spojeným s vyplavením některých látek (např. histaminu, leukotrienů a jiných mediátorů) - poškozujícím organismus či určité orgány (otok, zúžení průdušek, poruchy činnosti cév, zvýšená tvorba hlenu, ničení buněk aj.). (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz/)"
scapular,C0446464,Entire scapular region,Body Location or Region,"None, None)"
intersitial,C0021890,Interstitial,Pathologic Function,"Complications that affect patients during surgery. They may or may not be associated with the disease for which the surgery is done, or within the same surgical procedure."
evidence of prior smoking,C0678833,History of smoking,Cell Function,"None, None)"
deposits,C0333562,Deposition,Functional Concept,Accumulation of extraneous inorganic matter in tissues or cavities
processes,C3714634,Biological Processes,Biologic Function,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence. [GOC:pdt]"
lymphomatous,C2960101,Lymphomatous infiltration,Neoplastic Process,"None, None)"
regions,C0005898,Body Regions,Body Location or Region,Kroppens olika anatomiska områden.
deviated,C0012727,Spatial Displacement,Spatial Concept,"None, None)"
sequela,C0543419,Sequela of disorder,Pathologic Function,"A pathologic condition that results from a disease, treatment, or injury."
EKG,C0013798,Electrocardiogram,Diagnostic Procedure,"A study that evaluates the effect of a treatment on cardiac electrical activity, as assessed by electrocardiography."
Bronchovascular,C2326513,Bronchovascular bundle,Body Location or Region,"None, None)"
