name,ui,normalized_name,semanticTypes,definition
Aorta,C0003483,Aorta,"Body Part, Organ, or Organ Component","Srdečnice. Největší tepna organismu, která vystupuje přímo z levé srdeční komory. Probíhá hrudníkem a břišní dutinou (před páteří) až do bederní oblasti, kde se dělí (bifurkace) na dvě kyčelní tepny (aa. ilicae). Vystupuje z ní v různých částech řada větví, které zásobují okysličenou krví všechny orgány těla. A. ascendens - vzestupná a., počáteční úsek a. přecházející v aortální oblouk (arcus aortae). Navazuje a. descendens, která má část hrudní (a. thoracica) a břišní (a. abdominalis). (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)"
tortuous,C4068863,tortuous,Finding,No results
atherosclerotic,C0333482,atherosclerotic,Functional Concept,status similar or related to atherosclerosis
arch,,,,
Crowding,C0010383,Crowding,Social Behavior,"Número excessivo de indivíduos, humanos ou animais, em relação ao espaço disponível."
decompensated,C0205434,decompensated,Qualitative Concept,No results
obvious,C5706969,obvious,Qualitative Concept,Easily recognized or understood. Clearly apparent.
midlung,,,,
Calcific,C0175895,Calcified (qualifier value),Qualitative Concept,having calcium accumulation in the body
densities,C0178587,density,Quantitative Concept,The amount of something per unit size.
gallbladder,C0016976,gallbladder,"Body Part, Organ, or Organ Component","storage reservoir for bile secretion; allows the delivery of bile acids at a high concentration and in a controlled manner, via the cystic duct to the duodenum, for degradation of dietary lipid."
crowding of,,,,
minimally,,,,
crowd,C0010383,Crowding,Social Behavior,"Número excessivo de indivíduos, humanos ou animais, em relação ao espaço disponível."
Hemidiaphragm,C1269845,Structure of hemidiaphragm,"Body Part, Organ, or Organ Component",None
better,C0332272,better,Qualitative Concept,In an improved condition.
some,C0205392,Some (qualifier value),Quantitative Concept,"At least a small amount or number of, but not a large amount of, or often."
Blunting,,,,
in standard position,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
side holes,,,,
GE,C4534553,GE,Therapeutic or Preventive Procedure,No results
axillary,,,,
========
side holes,C2584728,Side hole epidural catheter,Medical Device,None
GE,C4534553,GE,No results,No results
axillary,C0004454,Axilla,Body Location or Region,Área do corpo humano abaixo da ARTICULAÇÃO DO OMBRO.
>>>>>>>> origin/main:nen/resource/output.csv
dual,C1554184,dual,Intellectual Product,<p>Dual purpose. Defined purposes based on species and breed</p>
lead,C0023175,lead,Hazardous or Poisonous Substance,"A soft, grayish metal with poisonous salts; atomic number 82, atomic weight 207.2, symbol Pb."
pacemaker,C0810633,pacemaker,Medical Device,"Stimulators used to regulate or substitute the normal rate at which a biologic center establishes the regular intervals of activity (rhythm) of an organ (e.g., heart, lungs). These stimulators control the pace by means of some artificial (e.g., electric generator) stimuli. Pacemakers can be designed either for continuous use (usually implantable devices) or for temporary external use."
tips,,,,
ventricle,C2355627,ventricle,"Body Part, Organ, or Organ Component","General anatomical term which refers to a chamber of an organ with cavitated organ parts. Examples: right ventricle of heart, lateral ventricle of brain."
3.5 cm,,,,
metallic,C2986473,metallic,Qualitative Concept,No results
foreign,C1517294,foreign,Qualitative Concept,Not belonging to that in which it is contained; introduced from an outside source.
object,C0347997,Physical object,Physical Object,"Something perceptible by one or more of the senses, especially by vision or touch; a material thing."
two,C0205448,two,Quantitative Concept,A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
components,,,,
curvilinear,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
beneath,,,,
mainstem,,,,
bronchus,,,,
iatrogenic,C0439669,iatrogenic,Qualitative Concept,No results
related,,,,
========
beneath,C0542339,Inferior,Spatial Concept,In anatomy indicating lower than a given reference point.
mainstem,C3807610,Thickened mainstem bronchi,Finding,None
bronchus,C0006255,Bronchi,"Body Part, Organ, or Organ Component","The larger air passages of the lungs arising from the terminal bifurcation of the TRACHEA. They include the largest two primary bronchi which branch out into secondary bronchi, and tertiary bronchi which extend into BRONCHIOLES and PULMONARY ALVEOLI."
iatrogenic,C0439669,iatrogenic,No results,No results
related,C0445223,Related (finding),Finding,None
>>>>>>>> origin/main:nen/resource/output.csv
well - expanded,,,,
in acceptable position,,,,
advanced,,,,
by several centimeters,,,,
implement,,,,
medially,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
not seen,C0332252,not seen,Functional Concept,No results
less,,,,
a change in patient position,,,,
========
not seen,C0332252,not seen,No results,No results
less,C0439092,Less Than,Quantitative Concept,<p>Less than condition applied to comparisons.</p>
a change in patient position,C0456201,Positioning of patient,Classification,None
>>>>>>>> origin/main:nen/resource/output.csv
not well seen,,,,
Pacer,C0030163,Artificial cardiac pacemaker,Medical Device,En apparat som stimulerar sammandragning av hjärtmusklarna med hjälp av elektriska impulser. Kan vara tillfällig (extern) eller permanent inopererad (intern eller intern-extern).
leads,C4053416,"Leads, Electromyograph",Medical Device,"Leads designed to conduct electrical biosignals caused by the activity of the skeletal muscles from electrodes placed within or near the muscles to an impedance matching device (known as a headstage) and/or preamplifier which in turn is connected through a cable to an electromyograph (EMG). These leads (known as patient leads) typically consist of flexible wires (e.g., 3, 5) that are completely isolated except at the electrode end. EMG leads are used with equipment intended to detect, process, and record the electrical activity of the skeletal muscles, such as electromyographs or evoked potential units with electromyography capabilities."
improvement,C2986411,improvement,Conceptual Entity,A condition superior to an earlier condition.
less prominent,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
upright position,,,,
atelectatic,C0439688,atelectatic,Qualitative Concept,No results
========
upright position,C0231472,Standing position,Spatial Concept,Human position in which the body is held in an upright orthostatic position and supported only by the feet.
atelectatic,C0439688,atelectatic,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
on waterseal,,,,
amount,C1265611,Quantity,Quantitative Concept,How much there is of something that you can measure; the total amount or number.
Rib,C0035561,Bone structure of rib,"Body Part, Organ, or Organ Component","A set of twelve curved bones which connect to the vertebral column posteriorly, and terminate anteriorly as costal cartilage. Together, they form a protective cage around the internal thoracic organs."
partially assessed,,,,
tiny,,,,
residual,C1609982,residual,Qualitative Concept,Remaining or left behind.
appreciable,,,,
Atelectatic,C0439688,Atelectatic,Qualitative Concept,No results
existing,,,,
thickenings,C0205400,Thickened,Finding,An increase in the thickness of a structure.
injury,C3263722,Traumatic AND/OR non-traumatic injury,Injury or Poisoning,Trastorno resultante del daño corporal físico
regressed,,,,
gross,,,,
malalignment,C1275957,Misalignment,Qualitative Concept,Abnormallly positioned or aligned in relation to another structure.
lateral structures,,,,
thorax,C0817096,Chest,Body Location or Region,"Subdivision of the trunk, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin; together with the abdomen, pelvis and perineum, it constitutes the trunk. Examples: There is only one thorax."
elevate,,,,
left arm,C5779993,left arm,"Body Part, Organ, or Organ Component",The portion of the upper extremity between the shoulder and the wrist and located on the left side of the body.
injuries,C3263723,Traumatic injury,Injury or Poisoning,Disorder resulting from physical damage to the body
transverse,,,,
L 2 through L 4,C0004604,Lumbar Vertebrae,Sign or Symptom,"Akutní nebo chronická bolest lokalizovaná v zadní části hrudníku, lumbosakrální oblasti nebo v přiléhajících oblastech."
first,,,,
medial,C0205098,medial,Spatial Concept,Toward the middle or inside (as opposed to lateral).
portions,,,,
third,C0205437,third,Quantitative Concept,Following the second position in an ordering or series; coming next after the second and just before the fourth in position.
comminuted,C0476171,"Fractures, Comminuted",Injury or Poisoning,"Typ zlomeniny, kde je kost rozštípnutá nebo rozdrcená."
posteriorly,,,,
eighth,C0205442,eighth,Intellectual Product,Following the seventh position in an ordering or series; coming next after the seventh and just before the ninth in position.
ninth,C0205443,ninth,Quantitative Concept,No results
displacement,,,,
scapula,C0036277,Bone structure of scapula,"Body Part, Organ, or Organ Component","Två platta, triangulära ben som tillsammans bildar den bakre delen av skuldergördeln."
hemithorax,C1269692,Entire hemithorax,"Body Part, Organ, or Organ Component",None
blood,C0005767,blood,Body Substance,Body substance which consists of plasma and blood cells
contents,C0456205,contents,Conceptual Entity,"Everything that is included in a collection, container, or communication."
to the right,C0546911,To the right (qualifier value),Spatial Concept,None
obliquity of the patient,,,,
true,C0205238,true,Qualitative Concept,"Conforming to facts, reality or definitive criteria."
shift,,,,
several,C0443302,several,Quantitative Concept,An indefinite small quantity that is more than two but less than many.
Poor definition,,,,
clavicle,C0008913,Bone structure of clavicle,"Body Part, Organ, or Organ Component","Long bone, each instance of which articulates with some scapula and sternum."
not as well seen on this study,,,,
4 cm above,,,,
lucency,,,,
Subcutaneous,C0443315,Subcutaneous,Spatial Concept,No results
Apical,C0205111,Apical,Spatial Concept,"Applies to an abnormality whose distribution and appearance are located at the apex of an organ. For instance, apical refers to the superior portion of the lung. []"
Extensive,C0205231,Extensive,Qualitative Concept,"Large in quantity, range, or spatial extent."
<<<<<<<< HEAD:nen/resource/simple/output.csv
subcutaneous,C0443315,subcutaneous,Spatial Concept,No results
emphysema,,,,
========
subcutaneous,C0443315,subcutaneous,No results,No results
emphysema,C0034067,Pulmonary Emphysema,Disease or Syndrome,"Trvale nadměrný obsah vzduchu v plicích při současném úbytku a poškození vlastní plicní tkáně. Nejčastěji součást CHOPN (obstrukční plicní nemoci). K dalším příčinám e. patří deficit alfa1 antitrypsinu, McLeodův syndrom, e. v okolí jizvení aj. Z hlediska patologické anatomie se rozlišuje e. centrilobulární, vznikající v rámci CHOPN, a panacinární. Zhoršuje výměnu plynů v plicích. Pacient trpí dušností (námahovou, později i klidovou), hyperventilace udržuje relativně dobrou saturaci krve kyslíkem (srov. pink puffer). Je snížena elasticita plic, mohou se vytvářet velké vzduchové buly (bulózní e.), při jejichž ruptuře vzniká pneumothorax. Časté je následné postižení srdce (cor pulmonale). (cit. Velký lékařský slovník online, 2014 http://lekarske.slovniky.cz/ )"
>>>>>>>> origin/main:nen/resource/output.csv
tension,C0233494,tension,Mental or Behavioral Dysfunction,A feeling of mental or emotional strain or suspense.
left sided,C0443246,left sided,Spatial Concept,An abnormal transposition to the left side.
hemorrhage,C0019080,hemorrhage,Pathologic Function,Bleeding or escape of blood from a vessel.
left - sided,C0443246,Left sided,Spatial Concept,An abnormal transposition to the left side.
Pneumomediastinum,C0032283,"Pneumomediastinum, Diagnostic",Diagnostic Procedure,Deliberate introduction of air or gas into the mediastinum as an aid to examination and diagnosis.
pneumopericardium,C0032319,pneumopericardium,Disease or Syndrome,"The presence of air in the pericardial cavity. Causes include chest injury in adults, and respiratory distress syndrome in infants."
<<<<<<<< HEAD:nen/resource/simple/output.csv
severely,,,,
fractured,C4554413,fractured,Finding,No results
hemorrahge,,,,
inferior,C0542339,inferior,Spatial Concept,In anatomy indicating lower than a given reference point.
field,C1521738,field,Conceptual Entity,"An area of database record, or graphical user interface form, into which a particular item of data is entered."
assessment,,,,
limited,,,,
rightward,C5570774,rightward,Spatial Concept,No results
========
severely,C0205082,Severe (severity modifier),Finding,"Head injury, Bone marrow transplantation, Intensive care patients (APACHE>10)."
fractured,C4554413,fractured,No results,No results
hemorrahge,C0019080,Hemorrhage,Pathologic Function,Bleeding or escape of blood from a vessel.
inferior,C0542339,inferior,Spatial Concept,In anatomy indicating lower than a given reference point.
field,C1521738,field,Conceptual Entity,"An area of database record, or graphical user interface form, into which a particular item of data is entered."
assessment,,,,
limited,C0439801,Limited (extensiveness),Functional Concept,"Restricted or in amount, size, or extent."
rightward,C5570774,rightward,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
Focal,C0205234,Focal,Spatial Concept,Limited to a specific area.
higher,C0205250,High,Qualitative Concept,An elevated level or position or degree; greater than normal in degree or intensity or amount.
opacified,,,,
alongside,,,,
elongated,,,,
aortosclerosis,C0340663,Aortic Diseases,Injury or Poisoning,None
increse,,,,
collections,,,,
soft tissues,C0225317,soft tissues,Tissue,A system of diagnosis and treatment directed toward tissues other than skeletal or arthrodial elements.
bleeding,C0019080,Hemorrhage,Pathologic Function,Bleeding or escape of blood from a vessel.
very,C0442824,very,Qualitative Concept,Existing to a great degree.
sharp,,,,
severe,C0205082,Severe (severity modifier),Finding,"Head injury, Bone marrow transplantation, Intensive care patients (APACHE>10)."
subcutaneus,,,,
deeper,,,,
pneumo mediastinum,C0032285,Pneumomediastinum,Disease or Syndrome,"Infekce plic, často doprovázená zánětem."
1-2 mm,,,,
Unremarkable,C0205307,Normal,Qualitative Concept,"In pathology, a term that is used to describe a tissue specimen that has a normal appearance."
examination,C4321457,examination,Activity,A formal or careful inspection of an object or subject.
clip,C0175722,clip,Medical Device,"Devices designed for attachment or occlusion of anatomic structures (e.g., blood vessels, fallopian tubes) and small objects and accessories (e.g., towels, drapes, bandages) used in surgical procedures without intentionally piercing them (i.e., atraumatic); some clips are intended for use as permanent implants or for temporary occlusion of external (e.g., nose, umbilical cord) anatomic structures. Surgical temporary clips usually permit only a small jaw opening, have a normally closed resting state, and are frequently applied manually; dedicated implantable clips include a variety of atraumatic small metallic or plastic devices in different shapes and sizes that are typically delivered using clip appliers."
Clear,C2963144,Clear,Qualitative Concept,No results
nipple,C0028109,nipple,"Body Part, Organ, or Organ Component",The pigmented protuberance on the surface of the breast through which milk is drawn from the breast.
shadows,C0332554,shadows,Functional Concept,No results
active,C0205177,active,Qualitative Concept,Exerting influence or producing an effect.
tuberculous,C0041296,Tuberculosis,Disease or Syndrome,Any of the infectious diseases of man and other animals caused by species of MYCOBACTERIUM TUBERCULOSIS.
A,,,,
rod,,,,
overlies,,,,
T 5 through T 9,,,,
area,C0205146,area,Spatial Concept,The extent of a 2-dimensional surface enclosed within a boundary.
of T 5 through T 9,,,,
intrafissural,,,,
1.5 cm,,,,
non - displaced,C0746928,non - displaced,Idea or Concept,No results
pectus,C4231117,pectus,Congenital Abnormality,No results
deformity,C0302142,deformity,Anatomical Abnormality,An anatomic abnormality that is either present at birth or appears later in life.
aforementioned,,,,
excavatum,C2051831,Pectus excavatum,Anatomical Abnormality,"A defect of the chest wall characterized by a depression of the sternum, giving the chest (pectus"") a caved-in (""excavatum"") appearance."" [https://orcid.org/0000-0002-0736-9199]"
Clips,C0175722,Clips,Medical Device,"Devices designed for attachment or occlusion of anatomic structures (e.g., blood vessels, fallopian tubes) and small objects and accessories (e.g., towels, drapes, bandages) used in surgical procedures without intentionally piercing them (i.e., atraumatic); some clips are intended for use as permanent implants or for temporary occlusion of external (e.g., nose, umbilical cord) anatomic structures. Surgical temporary clips usually permit only a small jaw opening, have a normally closed resting state, and are frequently applied manually; dedicated implantable clips include a variety of atraumatic small metallic or plastic devices in different shapes and sizes that are typically delivered using clip appliers."
<<<<<<<< HEAD:nen/resource/simple/output.csv
Pectus,C4231117,Pectus,Congenital Abnormality,No results
feeding,,,,
tubes,,,,
pneumothoraces,,,,
newly,C0750546,newly,Idea or Concept,No results
apparent,C0750489,apparent,Idea or Concept,No results
========
Pectus,C4231117,Pectus,No results,No results
feeding,C2987508,Feeding activity,Activity,To supply with nourishment; give food to.
tubes,C0175730,biomedical tube device,Medical Device,"Hollow cylindrical devices designed with a diameter, length, and other physical and/or chemical characteristics appropriate for a particular use. Tubes may be rigid, semi-rigid, or flexible; they are typically made of metals, metal alloys, rubber, plastics, or glass. Dedicated tubes are available for direct use in clinical procedures (e.g., gastrointestinal decompression, enteral feeding, and tracheostomy); as components of or attachments for medical devices; for use in the clinical laboratory; and also for a diversity of applications in the healthcare environment. Tubes are frequently a component of tubing sets (e.g., hemodialysis tubing sets)."
pneumothoraces,C4025027,Repeated pneumothoraces,Disease or Syndrome,None
newly,C0750546,newly,No results,No results
apparent,C0750489,apparent,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
Left sided,C0443246,Left sided,Spatial Concept,An abnormal transposition to the left side.
Swan,,,,
sheath,,,,
positions,C0733755,Positioning (attribute),Spatial Concept,<p>An observation denoting the physical location of a person or thing based on a reference coordinate system.</p>
lines,,,,
distance,C0012751,distance,Quantitative Concept,The space separating two objects or points.
bubble,C0001863,Air bubble,Substance,None
subpulmonic,,,,
Lines,C0205132,Lines,Spatial Concept,A mark that is long relative to its width; a length (straight or curved) without breadth or thickness; the trace of a moving point.
Post - operative,C0241311,post operative (finding),Finding,"<p>After any <a href=""https://medlineplus.gov/surgery.html"">operation</a>, you\'ll have some side effects. There is usually some pain with surgery. There may also be swelling and soreness around the area that the surgeon cut. Your surgeon can tell you which side effects to expect.</p> <p>There can also be complications. These are unplanned events linked to the operation. Some complications are infection, too much bleeding, reaction to <a href=""https://medlineplus.gov/anesthesia.html"">anesthesia</a>, or accidental injury. Some people have a greater risk of complications because of other medical conditions.</p> <p>Your surgeon can tell you how you might feel and what you will be able to do - or not do - the first few days, weeks, or months after surgery. Some other questions to ask are:</p><ul> <li>How long you will be in the hospital</li> <li>What kind of supplies, equipment, and help you might need when you go home</li> <li>When you can go back to work</li> <li>When it is ok to start exercising again</li> <li>Are they any other restrictions in your activities</li> </ul> <p>Following your surgeon\'s advice can help you recover as soon as possible.</p> <p class="""">Agency for Healthcare Research and Quality</p>"
structure,C0678594,structure,Spatial Concept,The components and their relationship and manner of arrangement in constituting a whole.
predominance,,,,
markedly,,,,
Calcified,C0175895,Calcified (qualifier value),Qualitative Concept,having calcium accumulation in the body
granulomas,C0018188,granulomas,Pathologic Function,"relatively small nodular inflammatory lesion containing grouped mononuclear phagocytes, caused by infectious and noninfectious agents."
Streaky,,,,
diffusely,,,,
demineralized,C1832069,Demineralized Bone Matrix (biomedical material),Biomedical or Dental Material,"Demineralized allograft bone with osteoinductive activity. Demineralizedbone matrices are prepared by acid extraction of allograftbone, resulting in loss of most of the mineralized componentbut retention of collagen and noncollagenous proteins, includinggrowth factors.The efficacy of a demineralizedbone matrix (DBM) as a bone-graft substitute or extender may be related to the total amount of bone morphogeneticprotein (BMP) present, and the ratios of the different BMPspresent. BMPs belong to the transforming growth factor (TGF) superfamily of proteins. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C61085"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C61085"" NCI Thesaurus)"
compression,C0728907,compression,Natural Phenomenon or Process,"The act, process, or result of pressing together, flattening, or condensing, particularly, increasing an external physical pressure on a body structure. Also refers to the reduction in the volume of a body or substance and augmentation of its density due to pressure."
<<<<<<<< HEAD:nen/resource/simple/output.csv
vertebral,,,,
bodies,,,,
thoracolumbar,C0450219,thoracolumbar,Spatial Concept,No results
========
vertebral,C0037949,Vertebral column,"Body Part, Organ, or Organ Component","Páteř tvoří nosnou oporu a pohyblivý pilíř celého těla. Je součástí osového skeletu. Je složena z částí - segmentů (krčního C1-C7, hrudního Th1-Th12, bederního L1-L5, křížového S1-S5 a kostrčního Co1-Co4(Co5). Páteř tvoří jednotlivé kosti, obratle (vertebrae), které jsou navzájem spojeny pevnými, avšak pohyblivými spoji. (upraveno podle Wikiskripta 2018 http://www.wikiskripta.eu/)"
bodies,C0242821,Human body,Human,Člověk jako neanatomická a nezoologická entita. Důraz je kladen na filozofické nebo umělecké zacházení s lidskou bytostí a zahrnuje laické a společenské postoje k tělu v historii.
thoracolumbar,C0450219,thoracolumbar,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
Soft tissue,C0225317,Soft tissue,Tissue,A system of diagnosis and treatment directed toward tissues other than skeletal or arthrodial elements.
humeral,C0020164,Bone structure of humerus,"Body Part, Organ, or Organ Component",Ben hos människor och primater som sträcker sig från skulderleden till armbågsleden.
head,C0018670,head,Body Location or Region,"The anterior and superior part of a human bearing the mouth, the brain and sensory organs."
calcific,C1533591,Calcification,Pathologic Function,None
tendinopathy,C1568272,tendinopathy,Disease or Syndrome,"Klinisk syndrom som beskriver skader (degenerative endringer i senevev) etter overbelastning av sener og senefester. Det manifesterer seg som en kombinasjon av smerter, diffus eller lokal hevelse og nedsatt yteevne. Å skille tendinose fra tendinitt er klinisk vanskelig og kan bare gjøres etter histopatologisk undersøkelse."
Deformity,C0302142,Deformity,Anatomical Abnormality,An anatomic abnormality that is either present at birth or appears later in life.
indistinctness,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
progression,C0449258,progression,Functional Concept,No results
worsening,,,,
vessels,,,,
========
progression,C0449258,progression,No results,No results
worsening,C0332271,Worsening (qualifier value),Qualitative Concept,None
vessels,C0005847,Blood Vessel,"Body Part, Organ, or Organ Component","Cualquiera de los conductos tubulares que transportan la sangre (las arterias, las arteriolas, los capilares, las vénulas y las venas)."
>>>>>>>> origin/main:nen/resource/output.csv
region,C0205147,region,Spatial Concept,Of or belonging to a broader area or region of the body.
reticular,C0439739,reticular,Spatial Concept,Applies to an abnormality whose distribution and appearance resembles a net or network-like structure. []
sinus,C1305231,Sinus - general anatomical term,Body Space or Junction,"A recess, cavity, or channel."
previous,C0205156,previous,Temporal Concept,Occurring prior to something else.
moderate - sized,,,,
cluster,C1704332,cluster,Quantitative Concept,A grouping of a number of similar things.
peribronchial,C0225607,Structure of peribronchial tissue,Tissue,None
infiltration,C0332448,infiltration,Pathologic Function,morphologic abnormality
interspace,,,,
non - tuberculous,,,,
mycobacterial,C0521015,mycobacterial,Functional Concept,No results
tuberculosis,C0041296,tuberculosis,Disease or Syndrome,Any of the infectious diseases of man and other animals caused by species of MYCOBACTERIUM TUBERCULOSIS.
granulomatous,C0439667,granulomatous,Qualitative Concept,Relating to or characterized by granulomas.
lymph node,C0024204,lymph node,"Body Part, Organ, or Organ Component","Lymfatická uzlina je orgán kulovitého či oválného tvaru (o průměru 1 - 30 mm). Nachází se v oběhu lymfatických cév a slouží jako biologický filtr lymfy. Lymfatické uzliny nalezneme zejména v podpažní jámě, v tříslech, v blízkosti velkých krčních cév, v hrudníku či dutině břišní. Hrají podstatnou roli v obraně organizmu proti mikrobům i nádorovým buňkám. (upraveno podle Wikiskripta 2018 http://www.wikiskripta.eu/)"
Study,C2603343,Study,Research Activity,"A detailed examination, analysis, or critical inspection of a subject designed to discover facts about it."
poor,C2700379,Poor - qualifier,Qualitative Concept,Of low value or worth.
penetration,C0205321,penetration,Functional Concept,The act of entering into or through something.
reexpansion,C1611712,Reexpansion pulmonary oedema,Disease or Syndrome,None
thoracocentesis,C0189477,Thoracentesis,Therapeutic or Preventive Procedure,The removal of excess fluid via needle puncture from the thoracic cavity.
pre - existing,C2347662,Pre-existing,Qualitative Concept,Having been present before a specific date or event.
substantially,,,,
post - procedural,C5885899,Post-procedural,Temporal Concept,None
prior,C0332152,Before,Temporal Concept,Earlier in time or order.
bibasal,,,,
obscures,C4727091,obscures,Activity,Make less clear or visible.
empyema,C0014009,empyema,Disease or Syndrome,"Tělesná dutina vyplněná hnisem. E. appendixu jako součást jeho zánětu (appendicitidy), e. pohrudniční dutiny, e. vejcovodu atd. E. obvykle vyžaduje léčbu antibiotiky a často též chirurgický zákrok či jiný způsob vypuštění hnisu. (cit. Velký lékařský slovník online, 2015 http://lekarske.slovniky.cz)"
granuloma,C0018188,granuloma,Pathologic Function,"relatively small nodular inflammatory lesion containing grouped mononuclear phagocytes, caused by infectious and noninfectious agents."
Size,C0456389,Size,Spatial Concept,Relative physical dimensions of objects or stimuli.
in size,C0541591,changes in size,Quantitative Concept,None
Decreased,C0205216,Decreased,Quantitative Concept,A subjective response indicating that something is or has decreased.
Vasculature,C3714653,Vasculature,Anatomical Structure,"Organ region cluster which consists of regions of arterial, venous and lymphatic trees and the capillary beds that connect them. Examples: Vasculature of head, vasculature of brain."
Degree,,,,
zone,C1710706,zone,Spatial Concept,An area or region distinguished from adjacent parts by a distinctive feature or characteristic.
lumbar,C0024090,Lumbar Region,Body Location or Region,subdivision of back each instance of which has as its constitutional part some complete set of vertebral arches (L1-L5) and anatomical entities located posterior to them; together with back of thorax and back of pelvis constitutes the back. Examples: There is only one back of abdomen.
Enlarging,C0442800,Enlarged,Qualitative Concept,None
Perihilar,,,,
haziness,C0344232,Blurred vision,Finding,finding
alveolar,C1440080,alveolar,"Body Part, Organ, or Organ Component",Of or relating to the alveoli.
Large,C0549177,Large,Quantitative Concept,"Of considerable or relatively great size, extent, or capacity."
retracted 4.5 cm,,,,
pulled back about 5 cm,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
collapse,,,,
Feeding,,,,
wire,C1268545,wire,Medical Device,No results
stylet,,,,
========
collapse,C0344329,Collapse (finding),Finding,Failure of a physiologic function or system.
Feeding,C2987508,Feeding activity,Activity,To supply with nourishment; give food to.
wire,C1268545,wire,No results,No results
stylet,C0183663,"Stylet, device",Medical Device,"A thin metal wire designed to be passed through a needle, catheter, or cannula to stiffen it or clear it of debris."
>>>>>>>> origin/main:nen/resource/output.csv
pylorus,C0034196,pylorus,"Body Part, Organ, or Organ Component",The passage at the lower end of the stomach that opens into the duodenum
superior cavoatrial junction,,,,
Subtle,,,,
minor,,,,
Improved,C0184511,Improved,Finding,Condition changed and/or recovered
internal jugular central venous,C0398279,Central venous cannula insertion via internal jugular vein,Therapeutic or Preventive Procedure,None
associated exudate,,,,
reasonably,,,,
well defined,C0442825,well defined,Qualitative Concept,Having a clean and distinct outline as if precisely cut along the edges.
fluid level,C0740844,air fluid level (finding),Finding,None
composite,C0205199,composite,Qualitative Concept,Consisting of separate interconnected parts.
shadow,C0332554,shadow,Functional Concept,No results
cavitation,C1510420,cavitation,Anatomical Abnormality,No results
vein,C0042449,vein,"Body Part, Organ, or Organ Component","Subdivision of venous tree (organ) which consists of branching sets of veins that form a tree; together with other venous trees (organ part), it constitutes a venous tree (organ). Examples: subclavian venous tree, jugular tree, extrahepatic portal tree, common iliac venous tree."
Cephalization,,,,
Comminuted,C0476171,"Fractures, Comminuted",Injury or Poisoning,"Typ zlomeniny, kde je kost rozštípnutá nebo rozdrcená."
hypoventilation,C3203358,hypoventilation,Pathologic Function,A reduction in the amount of air entering the pulmonary alveoli.
setting of splinting,,,,
Partially imaged,,,,
spinal,C0521329,spinal,Spatial Concept,Of or relating to the spine or spinal cord.
<<<<<<<< HEAD:nen/resource/simple/output.csv
fusion,,,,
hardware,,,,
persistently,C0750508,persistently,Idea or Concept,No results
========
fusion,C1293131,Fusion procedure,Therapeutic or Preventive Procedure,Procedimiento que permite unir estructuralmente dos estructuras adyacentes
hardware,C1880159,Computer Hardware Device,Manufactured Object,The physical components from which a computer is constructed (electronic circuits and input/output devices).
persistently,C0750508,persistently,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
subsegmental,,,,
Displaced,C0012727,Spatial Displacement,Spatial Concept,None
healed,C0205249,healed,Functional Concept,"Recovered, restored to healthy condition by natural processes, e.g. by scar formation; freed from illness or injury."
similar compared to the previous exams,,,,
especially,,,,
orientation,C5237365,orientation,Spatial Concept,"The position or alignment of something relative to points of the compass, other specific directions, or some other indexing system."
fixation,,,,
Sternal,C0038293,Sternal,"Body Part, Organ, or Organ Component","Flat bone, each instance of which is some flat bone forming the middle of the anterior part of some rib cage."
3 cm above,,,,
transesophageal,C0522518,Transesophageal approach,Spatial Concept,None
developing,,,,
Developing,,,,
development,C1527148,development,Functional Concept,The act of improving by expanding or enlarging or refining.
widespread,C0205391,widespread,Spatial Concept,Spread throughout a structure or area.
Support,,,,
in,,,,
multifocal,C0205292,multifocal,Spatial Concept,"Arising from, pertaining to, or having many locations."
noncardiogenic,C3241936,Non-cardiogenic pulmonary edema,Pathologic Function,Pulmonary edema that is not a result of cardiac dysfunction.
osteopenia,C0029453,osteopenia,Disease or Syndrome,"decreased calcification, bone density, or bone mass due to inadequate osteoid synthesis."
sparing,,,,
periphery,,,,
massive,C0522501,massive,Qualitative Concept,No results
Previous,C0205156,Previous,Temporal Concept,Occurring prior to something else.
significantly,,,,
Findings,C2607943,findings aspects,Functional Concept,None
stably,,,,
Status,C0449438,Status,Qualitative Concept,Designation of a concept's state. Normally is not populated unless the state is retired..
predominantly,,,,
fissural,C1517198,fissural,Qualitative Concept,Relating to or resembling a fissure.
